| time |   in   |load |address|  out   |
| 0+   |      0 |  0  |    0  |      0 |
| 1    |      0 |  0  |    0  |      0 |
| 1+   |      0 |  1  |    0  |      0 |
| 2    |      0 |  1  |    0  |      0 |
| 2+   |  13099 |  0  |    0  |      0 |
| 3    |  13099 |  0  |    0  |      0 |
| 3+   |  13099 |  1  |    2  |      0 |
| 4    |  13099 |  1  |    2  |  13099 |
| 4+   |  13099 |  0  |    0  |      0 |
| 5    |  13099 |  0  |    0  |      0 |
| 5+   |   4729 |  0  |    3  |      0 |
| 6    |   4729 |  0  |    3  |      0 |
| 6+   |   4729 |  1  |    3  |      0 |
| 7    |   4729 |  1  |    3  |   4729 |
| 7+   |   4729 |  0  |    3  |   4729 |
| 8    |   4729 |  0  |    3  |   4729 |
| 8    |   4729 |  0  |    2  |  13099 |
| 8+   |   5119 |  0  |    2  |  13099 |
| 9    |   5119 |  0  |    2  |  13099 |
| 9+   |   5119 |  1  |    3  |   4729 |
| 10   |   5119 |  1  |    3  |   5119 |
| 10+  |   5119 |  0  |    3  |   5119 |
| 11   |   5119 |  0  |    3  |   5119 |
| 11   |   5119 |  0  |    2  |  13099 |
| 11   |   5119 |  0  |    3  |   5119 |
